Claim Number,Date Received,Incident D,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2015060422925,17-May-15,30-Apr-15,JFK,John F. Kennedy International,Lufthansa  ,Property Damage,Checked Baggage,Clothing,$0.00 ,Deny
2015051922595,19-May-15,30-Apr-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,-,-
2015052122656,21-May-15,27-Apr-15,JFK,John F. Kennedy International,Qatar airlines,Property Damage,Checked Baggage,Other,-,-
2015052122674,21-May-15,27-Apr-15,JFK,John F. Kennedy International,Qatar airlines,Property Damage,Checked Baggage,Other,-,-
2015052622753,21-May-15,11-May-15,JFK,John F. Kennedy International,Qantas Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015052822824,21-May-15,15-Apr-15,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Personal Electronics,$0.00 ,Deny
2015052722780,22-May-15,19-May-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Personal Electronics,$54.95 ,Approve in Full
2015060122880,22-May-15,28-Apr-15,JFK,John F. Kennedy International,Virgin America,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015060522940,22-May-15,13-May-15,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2015060522941,22-May-15,13-May-15,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
2015072023963,25-May-15,22-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Currency,$0.00 ,Deny
2015052922839,26-May-15,8-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$34.99 ,Approve in Full
2015052922864,26-May-15,26-Sep-14,JFK,John F. Kennedy International,Aero Flot,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015060222883,27-May-15,8-Apr-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Medical/Science,$150.00 ,Settle
2015060222888,27-May-15,4-Nov-14,JFK,John F. Kennedy International,Virgin Atlantic,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015060222903,28-May-15,20-May-15,JFK,John F. Kennedy International,Swiss Air  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2015060422927,29-May-15,14-Apr-15,JFK,John F. Kennedy International,Air Berlin,Passenger Property Loss,Checked Baggage,Food & Drink,$49.00 ,Approve in Full
2015060922993,1-Jun-15,14-May-15,JFK,John F. Kennedy International,Emirates,Passenger Property Loss,Checkpoint,Currency,$0.00 ,Deny
2015060922999,1-Jun-15,25-Apr-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015061123028,1-Jun-15,5-May-15,JFK,John F. Kennedy International,Transaero Airlines,Property Damage,Checked Baggage,Other; Outdoor Items,$0.00 ,Deny
2015061223092,3-Jun-15,1-Apr-15,JFK,John F. Kennedy International,Emirates,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming,$110.00 ,Settle
2015061223098,4-Jun-15,28-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other; Other,$78.37 ,Settle
2015061223111,4-Jun-15,28-May-15,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,Clothing,-,-
2015061223118,4-Jun-15,31-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015061523142,5-Jun-15,28-Apr-15,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,$129.28 ,Approve in Full
2015061823219,5-Jun-15,12-Apr-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$50.00 ,Settle
2015061823220,5-Jun-15,1-Apr-15,JFK,John F. Kennedy International,EVA airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming,$0.00 ,Deny
2015061823232,5-Jun-15,25-May-15,JFK,John F. Kennedy International,Asiana Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$300.00 ,Settle
2015061623173,8-Jun-15,13-May-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checkpoint,Jewelry & Watches,$135.35 ,Settle
2015061623188,8-Jun-15,10-May-15,JFK,John F. Kennedy International,Qatar airlines,Property Damage,Checkpoint,Computer & Accessories,$300.00 ,Settle
2015061723201,8-Jun-15,29-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,$21.83 ,Approve in Full
2015060922988,9-Jun-15,2-May-15,JFK,John F. Kennedy International,-,Property Damage,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming; Jewelry & Watches; Personal Electronics; Personal Electronics,$300.00 ,Settle
2015060923000,9-Jun-15,4-Jun-14,JFK,John F. Kennedy International,British Airways  ,Property Damage,Checked Baggage,Other,$330.09 ,Settle
2015061923249,10-Jun-15,6-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,$0.00 ,Deny
2015061923264,10-Jun-15,31-Mar-15,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Other,$125.00 ,Approve in Full
2015061923275,10-Jun-15,11-Apr-15,JFK,John F. Kennedy International,UAL  ,Property Damage,Checkpoint,Personal Electronics,$109.00 ,Approve in Full
2015062223331,10-Jun-15,30-Apr-15,JFK,John F. Kennedy International,Arik Airlines,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
2015081724893,10-Jun-15,4-Jun-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2015062223311,11-Jun-15,18-May-15,JFK,John F. Kennedy International,USAir  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2015062223318,11-Jun-15,25-May-15,JFK,John F. Kennedy International,Asiana Airlines,Passenger Property Loss,Checked Baggage,Other,$160.74 ,Approve in Full
2015061223107,12-Jun-15,1-Jun-15,JFK,John F. Kennedy International,Polish Airlines  ,Passenger Property Loss,Checkpoint,Currency,-,-
2015062223320,12-Jun-15,20-Oct-13,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Computer & Accessories,$398.17 ,Settle
2015062223336,15-Jun-15,3-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Food & Drink,$72.49 ,Settle
2015062623466,15-Jun-15,20-May-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2015062323350,16-Jun-15,7-May-15,JFK,John F. Kennedy International,Carribean Airlines,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2015062323361,16-Jun-15,26-Dec-14,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Computer & Accessories; Jewelry & Watches,"$1,100.00 ",Settle
2015062323363,16-Jun-15,17-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Household Items,$180.47 ,Approve in Full
2015062623460,18-Jun-15,27-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Personal Electronics,$0.00 ,Deny
2015063023572,24-Jun-15,6-Jun-15,JFK,John F. Kennedy International,Jet Blue,Personal Injury,Checkpoint,Other; Other; Personal Electronics,-,-
2015070223627,25-Jun-15,28-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Accessories; Tools & Home Improvement Supplies,$0.00 ,Deny
2015070223648,25-Jun-15,15-Jun-15,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Other,$0.00 ,Deny
2015070223651,25-Jun-15,30-May-15,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Other,$0.00 ,Deny
2015070223640,26-Jun-15,23-Jun-15,JFK,John F. Kennedy International,Air Berlin,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2015062923529,29-Jun-15,14-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$72.19 ,Approve in Full
2015070623663,29-Jun-15,15-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Travel Accessories,$0.00 ,Deny
2015070823713,29-Jun-15,18-May-15,JFK,John F. Kennedy International,Qantas Airlines,Property Damage,Checked Baggage,Computer & Accessories,$200.13 ,Settle
2015071323766,29-Jun-15,28-May-15,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$140.00 ,Settle
2015071423803,29-Jun-15,31-May-15,JFK,John F. Kennedy International,Turkish Airlines  ,Property Damage,Checkpoint,Computer & Accessories,$565.76 ,Settle
2015050122254,30-Jun-15,7-Mar-15,JFK,John F. Kennedy International,Brussels Airlines,Personal Injury,Checked Baggage,-,-,-
2015070823712,30-Jun-15,19-Jun-15,JFK,John F. Kennedy International,Air China,Passenger Property Loss,Checked Baggage,Clothing; Clothing,$96.00 ,Approve in Full
2015071323761,1-Jul-15,10-Apr-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$20.00 ,Approve in Full
2015071523839,2-Jul-15,29-Jun-15,JFK,John F. Kennedy International,Air Berlin,Passenger Property Loss,Checked Baggage,Cameras; Cameras,-,-
2015071723946,6-Jul-15,2-Jul-15,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2015070623671,7-Jul-15,6-Mar-15,JFK,John F. Kennedy International,Austrian Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015071723904,7-Jul-15,4-Jul-15,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,Personal Electronics,$249.00 ,Approve in Full
2015071723953,7-Jul-15,29-Jun-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2015071623890,8-Jul-15,3-Jul-15,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2015071723906,8-Jul-15,12-Jun-15,JFK,John F. Kennedy International,Carribean Airlines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories,$0.00 ,Deny
2015071723912,8-Jul-15,11-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,$189.99 ,Approve in Full
2015072023976,8-Jul-15,31-May-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$19.99 ,Approve in Full
2015072023977,8-Jul-15,21-Jun-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Travel Accessories,$19.99 ,Approve in Full
2015072023992,10-Jul-15,6-Jul-15,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Jewelry & Watches; Jewelry & Watches,$0.00 ,Deny
2015072024002,13-Jul-15,18-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015072024007,13-Jul-15,7-Jul-15,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,Currency,$500.00 ,Settle
2015071523842,14-Jul-15,12-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming,$0.00 ,Deny
2015072124030,14-Jul-15,2-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Other,$108.50 ,Settle
2015072124039,14-Jul-15,20-Jun-15,JFK,John F. Kennedy International,LOT Polish Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$150.00 ,Settle
2015071523846,15-Jul-15,20-Jun-15,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Other; Personal Electronics; Personal Electronics,-,-
2015072124072,15-Jul-15,7-Jul-15,JFK,John F. Kennedy International,Avianca  ,Passenger Property Loss,Checked Baggage,Computer & Accessories; Personal Electronics,$0.00 ,Deny
2015072324155,15-Jul-15,27-May-15,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$0.00 ,Deny
2015071623863,16-Jul-15,22-Jun-15,JFK,John F. Kennedy International,British Airways  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015071623869,16-Jul-15,3-Jul-15,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015071623870,16-Jul-15,1-Jul-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015072224089,16-Jul-15,14-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$145.20 ,Approve in Full
2015072023960,20-Jul-15,21-May-15,JFK,John F. Kennedy International,KLM Royal Dutch Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,$100.00 ,Settle
2015072024010,20-Jul-15,27-Jun-15,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Home Decor; Household Items; Other,-,-
2015080324482,20-Jul-15,14-May-15,JFK,John F. Kennedy International,British Airways  ,Property Damage,Checked Baggage,Home Decor,-,-
2015072124055,21-Jul-15,10-Mar-15,JFK,John F. Kennedy International,Korean Airlines  ,Passenger Property Loss,Checked Baggage,Other,$35.00 ,Approve in Full
2015072724236,21-Jul-15,13-Jul-15,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming; Other,$0.00 ,Deny
2015072724252,22-Jul-15,5-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2015072724263,22-Jul-15,25-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2015072924340,22-Jul-15,30-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,$0.00 ,Deny
2015073024343,22-Jul-15,19-Jul-15,JFK,John F. Kennedy International,Etihad Airways,Passenger Property Loss,Checked Baggage,Personal Electronics; Travel Accessories,$407.75 ,Settle
2015072924342,23-Jul-15,8-Jul-15,JFK,John F. Kennedy International,Alitalia  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$150.00 ,Settle
2015073024353,23-Jul-15,21-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$250.00 ,Approve in Full
2015073024355,23-Jul-15,3-Jul-15,JFK,John F. Kennedy International,British Airways  ,Property Damage,Checkpoint,Computer & Accessories,$91.20 ,Settle
2015073124399,23-Jul-15,13-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Cosmetics & Grooming,$300.00 ,Settle
2015073124411,27-Jul-15,14-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Household Items,$121.28 ,Approve in Full
2015073124418,27-Jul-15,7-Jul-15,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015080324479,29-Jul-15,20-Jun-15,JFK,John F. Kennedy International,Virgin Atlantic,Property Damage,Checked Baggage,Baggage/Cases/Purses; Other,$0.00 ,Deny
2015080324483,29-Jul-15,30-Jun-15,JFK,John F. Kennedy International,Westjet Airlines Ltd  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
2015080424542,29-Jul-15,24-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Household Items,$0.00 ,Deny
2015080424543,29-Jul-15,16-Jun-15,JFK,John F. Kennedy International,Cathay Pacific - CX,Property Damage,Checkpoint,Computer & Accessories,$115.00 ,Approve in Full
2015080424547,29-Jul-15,12-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$56.30 ,Settle
2015080424557,30-Jul-15,12-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2015080424558,30-Jul-15,5-Jul-15,JFK,John F. Kennedy International,British Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015080524575,30-Jul-15,17-Jul-15,JFK,John F. Kennedy International,Alitalia  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,$50.00 ,Settle
2015080624632,30-Jul-15,25-Jun-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other; Clothing; Medical/Science; Toys & Games",$163.50 ,Settle
2015080524591,31-Jul-15,30-Jul-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,$822.00 ,Settle
2015080624605,31-Jul-15,10-Jul-15,JFK,John F. Kennedy International,Alitalia  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015080624613,31-Jul-15,19-Jul-15,JFK,John F. Kennedy International,Aero Mexico,Passenger Property Loss,Checkpoint,Computer & Accessories,$0.00 ,Deny
2015080724705,3-Aug-15,13-Jul-15,JFK,John F. Kennedy International,China Eastern Airlines  ,Property Damage,Checkpoint,Personal Electronics,$300.00 ,Settle
2015080424545,4-Aug-15,27-Jul-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checked Baggage,Household Items,$150.00 ,Approve in Full
2015080524568,4-Aug-15,6-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015080624665,4-Aug-15,3-Aug-15,JFK,John F. Kennedy International,USAir  ,Passenger Property Loss,Checked Baggage,Food & Drink; Personal Accessories; Personal Electronics,$150.00 ,Settle
2015080724695,5-Aug-15,9-Jun-15,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,Travel Accessories,$21.99 ,Approve in Full
2015081724932,6-Aug-15,30-Jul-15,JFK,John F. Kennedy International,Asiana Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,"$1,023.29 ",Settle
2015081024767,7-Aug-15,28-Jul-15,JFK,John F. Kennedy International,Singapore Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2015081024770,7-Aug-15,28-Jul-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$130.00 ,Settle
2015081024765,10-Aug-15,5-Aug-15,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$500.00 ,Settle
2015081724894,10-Aug-15,8-Aug-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Food & Drink,$0.00 ,Deny
2015081424864,12-Aug-15,9-Jul-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checkpoint,Clothing,-,-
2015081424879,12-Aug-15,30-Jul-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$100.00 ,Approve in Full
2015081324846,13-Aug-15,9-Jul-15,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checkpoint,Clothing,$0.00 ,Deny
2015081724900,14-Aug-15,12-Aug-15,JFK,John F. Kennedy International,British Airways  ,Property Damage,Checkpoint,Home Decor,$20.00 ,Approve in Full
2015081824945,14-Aug-15,10-Aug-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Currency,$0.00 ,Deny
2015081724913,17-Aug-15,21-Jul-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Jewelry & Watches; Jewelry & Watches; Jewelry & Watches,$0.00 ,Deny
2015081824942,17-Aug-15,26-Jul-15,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,$125.00 ,Approve in Full
2015081824958,17-Aug-15,6-Aug-15,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Home Decor; Office Equipment & Supplies; Toys & Games,$0.00 ,Deny
